Source Account,Text,Date,Compound Score,Positive Score,Neutral Score,Negative Score,Tweets Ago
@BBCWorld,"RT @BBCSport: Auf Wiedersehen...

DEFENDING CHAMPIONS GERMANY ARE OUT OF THE #WORLDCUP!

FT: #KOR 2-0 #GER 

https://t.co/ukXULQ5cJx
#KORGE…",Wed Jun 27 15:58:53 +0000 2018,0.6625,0.207,0.793,0.0,92
@BBCWorld,"RT @BBCSport: GOAL!

Another for #KOR! Manuel Neuer surrenders possession in the opposing half, South Korea hoof it up and tuck it into an…",Wed Jun 27 15:56:15 +0000 2018,0.0,0.0,1.0,0.0,93
@BBCWorld,"RT @BBCSport: FT #MEX 0-3 #SWE 

Incredible from Sweden. They're through to the #WorldCup knockout stages after thrashing Mexico.

Full-tim…",Wed Jun 27 15:53:10 +0000 2018,0.0,0.0,1.0,0.0,94
@BBCWorld,"RT @BBCSport: GOAL!

IT'S BEEN GIVEN!

#KOR 1-0 #GER 

VAR has given Kim's goal and Germany are heading out!

https://t.co/ukXULQ5cJx #Worl…",Wed Jun 27 15:52:55 +0000 2018,0.0,0.0,1.0,0.0,95
@BBCWorld,Isle of Man diocese to review alleged abuse by clergy https://t.co/F3jTZRmnrD,Wed Jun 27 13:43:19 +0000 2018,-0.6369,0.0,0.704,0.296,96
@BBCWorld,RT @bbcweather: Severe storms hit Greece https://t.co/jBX3GXCaPz Jo https://t.co/AJcQvJwSYY,Wed Jun 27 13:29:08 +0000 2018,-0.3818,0.0,0.755,0.245,97
@BBCWorld,RT @BBCPolitics: Thank goodness he didn't do the crotch grab! 😳 Culture secretary @MattHancock learns to moonwalk at the opening of the Mic…,Wed Jun 27 13:27:14 +0000 2018,0.6996,0.208,0.792,0.0,98
@BBCWorld,Leo Varadkar defends the newly appointed Garda chief https://t.co/ZT9YnZ6wZw,Wed Jun 27 13:16:01 +0000 2018,0.0,0.0,1.0,0.0,99
@BBCWorld,Jersey to introduce same sex marriage from 1 July https://t.co/kdVcj1c37S,Wed Jun 27 13:06:09 +0000 2018,0.0,0.0,1.0,0.0,100
@CBSNews,"Former Cambridge Analytica employee says ""there were more"" apps that collected user data: https://t.co/EXUSemmpEs https://t.co/GBM3DZZAxg",Wed Jun 27 12:56:51 +0000 2018,0.0,0.0,1.0,0.0,1
@CBSNews,"Danny Meyer is the founder of the burger joint Shake Shack and CEO of Union Square Hospitality, which owns 17 New Y… https://t.co/1jA5qZAJmo",Wed Jun 27 12:37:36 +0000 2018,-0.1779,0.0,0.928,0.072,2
@CBSNews,CBS News has obtained cellphone video from inside the Cayuga Centers in New York -- the first unfiltered look insid… https://t.co/LUXNDWXu3y,Wed Jun 27 12:29:50 +0000 2018,0.0,0.0,1.0,0.0,3
@CBSNews,CBS News has obtained cellphone video from inside the Cayuga Centers in New York showing children huddled in what l… https://t.co/kT8cywqWQw,Wed Jun 27 12:16:36 +0000 2018,0.0,0.0,1.0,0.0,4
@CBSNews,President Trump’s “administration is a form of extremism. We shouldn’t be afraid to be very bold and very strong in… https://t.co/8GQcQAvEbu,Wed Jun 27 12:15:04 +0000 2018,0.7569,0.265,0.735,0.0,5
@CBSNews,"Alexandria Ocasio-Cortez says she was not following the primary results until she arrived at watch party: ""We had f… https://t.co/Y0XvwNLuSU",Wed Jun 27 12:12:50 +0000 2018,0.4019,0.124,0.876,0.0,6
@CBSNews,Alexandria Ocasio-Cortez on her message to the Democratic establishment:  “I think that it is time that we reassert… https://t.co/mD6u6vwBG9,Wed Jun 27 12:08:23 +0000 2018,0.0,0.0,1.0,0.0,7
@CBSNews,"Alexandria Ocasio-Cortez, who defeated 10-term Democratic Rep. Joe Crowley in a stunning upset in Tuesday’s primari… https://t.co/9ivdKlOYfw",Wed Jun 27 12:05:50 +0000 2018,-0.4767,0.122,0.61,0.268,8
@CBSNews,My pleasure to SAVE you: Chick-fil-A employee comes to the rescue of a choking customer and it wasn't even his firs… https://t.co/ZwJSKabrY8,Wed Jun 27 12:00:08 +0000 2018,0.8374,0.353,0.55,0.097,9
@CBSNews,"NEW: The East Pittsburgh Police officer who fatally shot 17-year-old Antwon Rose Jr. on June 19 has been charged, a… https://t.co/o2qVrWU9z4",Wed Jun 27 11:51:18 +0000 2018,-0.7184,0.0,0.76,0.24,10
@CBSNews,"Brittany Kaiser, a former official at Cambridge Analytica, is sharing what she considers some of the data firm's qu… https://t.co/tHqwzPGnIx",Wed Jun 27 11:44:35 +0000 2018,0.4215,0.135,0.865,0.0,11
@CBSNews,"RT @CBSThisMorning: For the first time last night, @ColbertLateShow and @FallonTonight aired the same opening. @StephenAtHome &amp; @JimmyFallo…",Wed Jun 27 11:44:09 +0000 2018,0.0,0.0,1.0,0.0,12
@CBSNews,Tristan Beaudette was shot before dawn last Friday while camping with his two young daughters. Detectives are revie… https://t.co/CtdWAhnC10,Wed Jun 27 11:36:30 +0000 2018,0.0,0.0,1.0,0.0,13
@CBSNews,"The woman dubbed ""Permit Patty"" for threatening to call police on an 8-year-old black girl selling water on the str… https://t.co/yms6GuVah5",Wed Jun 27 11:23:22 +0000 2018,-0.5267,0.0,0.855,0.145,14
@CBSNews,"There will be a funeral this morning for a New York City teen, allegedly stabbed to death by gang members. Hundreds… https://t.co/jX9YSOr878",Wed Jun 27 11:19:55 +0000 2018,-0.8519,0.0,0.646,0.354,15
@CBSNews,Passengers on a JetBlue flight were terrified when officers stormed their plane in New York’s JFK Airport. It was a… https://t.co/NQ8uDrzVor,Wed Jun 27 11:17:56 +0000 2018,-0.6124,0.0,0.826,0.174,16
@CBSNews,President Trump is claiming vindication after the Supreme Court allowed his travel ban to stay in place. The court'… https://t.co/6BwY9Pim0t,Wed Jun 27 11:12:52 +0000 2018,0.0,0.143,0.714,0.143,17
@CBSNews,A federal judge in California ruled the Trump administration must reunite separated immigrant families within 30 da… https://t.co/GWE2DpXzhN,Wed Jun 27 11:11:00 +0000 2018,0.0,0.0,1.0,0.0,18
@CBSNews,"A stunning upset rocked the midterm elections Tuesday. Rep. Joe Crowley was defeated by Alexandria Ocasio-Cortez, a… https://t.co/X4m2lc33J7",Wed Jun 27 11:06:58 +0000 2018,-0.4767,0.117,0.628,0.256,19
@CBSNews,The body of a third-party contractor was found inside a beer cooler at SunTrust Park before Tuesday's Atlanta Brave… https://t.co/h5B4s61Vo8,Wed Jun 27 11:00:55 +0000 2018,0.0,0.0,1.0,0.0,20
@CBSNews,RT @CBSThisMorning: WATCH: Here's a preview of what you can expect on @CBSThisMorning. https://t.co/p8YblTdQ9r,Wed Jun 27 10:51:25 +0000 2018,0.0,0.0,1.0,0.0,21
@CBSNews,AHEAD on @CBSThisMorning: The Trump administration has up to 30 days to reunite separated immigrant families. We'll… https://t.co/rLpRQQBxBJ,Wed Jun 27 10:51:20 +0000 2018,0.0,0.0,1.0,0.0,22
@CBSNews,"Ben Rhodes: ""We could have done more"" to explain Russia's information war https://t.co/EHY88GX35o https://t.co/KRwLMZTQbY",Wed Jun 27 10:40:01 +0000 2018,-0.5994,0.0,0.769,0.231,23
@CBSNews,"WATCH: Comedian @RealTracyMorgan reflects on his life and sends a heartfelt message to his 6-year-old self.

📺 See… https://t.co/KqyOqpyTnv",Wed Jun 27 10:25:25 +0000 2018,0.7269,0.276,0.724,0.0,24
@CBSNews,"Rain continues to fall and water levels keep rising inside a cave in northern Thailand, frustrating the search for… https://t.co/KjiLYrhvk0",Wed Jun 27 10:19:48 +0000 2018,-0.4404,0.0,0.861,0.139,25
@CBSNews,"Childish Gambino's manager denies accusation of plagiarism over ""This is America"" https://t.co/k5lkfXMDsa https://t.co/x6YEYe09p7",Wed Jun 27 10:03:03 +0000 2018,-0.7184,0.0,0.588,0.412,26
@CBSNews,Bronx teen reportedly killed over sex tape in apparent case of mistaken identity https://t.co/nptuyHK0hw https://t.co/dIN7oN3Vyv,Wed Jun 27 09:48:04 +0000 2018,-0.7906,0.0,0.65,0.35,27
@CBSNews,"""It's OK to not be OK"": Suicide attempt survivors offer insight and advice https://t.co/Nlwy2gAiv8 https://t.co/d38pwNwugu",Wed Jun 27 09:33:03 +0000 2018,0.7596,0.334,0.666,0.0,28
@CBSNews,World War II hero Garlin Murl Conner's widow remembers his extraordinary life https://t.co/4yfPN9gLpd https://t.co/gCcEJh3yTg,Wed Jun 27 09:18:05 +0000 2018,-0.0772,0.185,0.615,0.2,29
@CBSNews,Prosecutors to retry ex-deputy's husband in fatal confrontation outside Denny's https://t.co/RumlBZUX6i https://t.co/mZnKR2n7gM,Wed Jun 27 09:03:04 +0000 2018,-0.7003,0.0,0.633,0.367,30
@CBSNews,8th arrest in fatal stabbing of Bronx teenager outside bodega https://t.co/IoSKVBIVIf https://t.co/pkV0JUgMj7,Wed Jun 27 08:48:04 +0000 2018,-0.7096,0.0,0.629,0.371,31
@CBSNews,L.A. agency received 13 calls about boy before his suspicious death https://t.co/yCdGAMIIDE https://t.co/WJtnQkHDAz,Wed Jun 27 08:33:04 +0000 2018,-0.7506,0.0,0.632,0.368,32
